Ratio|Run Time|Wait Time|JobID|User|Group|Submit|Start|End|Timelimit|ReqMem|MaxRSS|AllocCPUS|CPUTimeRAW(s)
.00051|00:01:34|02-02:53:35|468833|aschneid|choueiry|2014-03-18T13:20:59|2014-03-20T16:14:34|2014-03-20T16:16:08|2-02:00:00|8096Mc||1|94
.00051|00:01:34|02-02:57:02|467062|aschneid|choueiry|2014-03-18T13:17:02|2014-03-20T16:14:04|2014-03-20T16:15:38|2-02:00:00|8096Mc||1|94
.00051|00:01:34|02-02:57:02|467063|aschneid|choueiry|2014-03-18T13:17:02|2014-03-20T16:14:04|2014-03-20T16:15:38|2-02:00:00|8096Mc||1|94
.00051|00:01:35|02-02:57:02|467064|aschneid|choueiry|2014-03-18T13:17:02|2014-03-20T16:14:04|2014-03-20T16:15:39|2-02:00:00|8096Mc||1|95
.00053|00:01:39|02-02:57:02|467038|aschneid|choueiry|2014-03-18T13:17:02|2014-03-20T16:14:04|2014-03-20T16:15:43|2-02:00:00|8096Mc||1|99
.00057|00:01:45|02-02:57:08|468553|aschneid|choueiry|2014-03-18T13:17:24|2014-03-20T16:14:32|2014-03-20T16:16:17|3-00:00:00|8096Mc||1|105
.00060|00:01:51|02-02:57:06|467330|aschneid|choueiry|2014-03-18T13:17:05|2014-03-20T16:14:11|2014-03-20T16:16:02|3-00:00:00|8096Mc||1|111
.00063|00:01:56|02-02:53:35|468835|aschneid|choueiry|2014-03-18T13:20:59|2014-03-20T16:14:34|2014-03-20T16:16:30|2-02:00:00|8096Mc||1|116
.00066|00:01:25|01-11:37:44|471131|ymechqrane|choueiry|2014-03-19T04:36:53|2014-03-20T16:14:37|2014-03-20T16:16:02|3-00:00:00|8096Mc||1|85
.00082|00:02:32|02-02:57:00|467665|aschneid|choueiry|2014-03-18T13:17:13|2014-03-20T16:14:13|2014-03-20T16:16:45|3-00:00:00|8096Mc||1|152
.00094|00:02:53|02-02:57:00|467667|aschneid|choueiry|2014-03-18T13:17:13|2014-03-20T16:14:13|2014-03-20T16:17:06|3-00:00:00|8096Mc||1|173
.00095|00:02:52|02-02:11:28|469332|ymechqrane|choueiry|2014-03-18T14:02:52|2014-03-20T16:14:20|2014-03-20T16:17:12|3-00:00:00|8096Mc||1|172
.00099|00:02:55|02-01:00:00|469690|ymechqrane|choueiry|2014-03-18T15:14:36|2014-03-20T16:14:36|2014-03-20T16:17:31|3-00:00:00|8096Mc||1|175
.00099|00:03:03|02-02:57:07|467182|aschneid|choueiry|2014-03-18T13:17:03|2014-03-20T16:14:10|2014-03-20T16:17:13|3-00:00:00|8096Mc||1|183
.00111|00:03:22|02-02:11:28|469329|ymechqrane|choueiry|2014-03-18T14:02:52|2014-03-20T16:14:20|2014-03-20T16:17:42|3-00:00:00|8096Mc||1|202
.00115|00:03:31|02-02:57:00|467668|aschneid|choueiry|2014-03-18T13:17:13|2014-03-20T16:14:13|2014-03-20T16:17:44|3-00:00:00|8096Mc||1|211
.00116|00:03:25|02-01:00:00|469687|ymechqrane|choueiry|2014-03-18T15:14:36|2014-03-20T16:14:36|2014-03-20T16:18:01|3-00:00:00|8096Mc||1|205
.00132|00:04:03|02-02:57:00|467669|aschneid|choueiry|2014-03-18T13:17:13|2014-03-20T16:14:13|2014-03-20T16:18:16|3-00:00:00|8096Mc||1|243
.00134|00:02:53|01-11:37:44|471124|ymechqrane|choueiry|2014-03-19T04:36:53|2014-03-20T16:14:37|2014-03-20T16:17:30|3-00:00:00|8096Mc||1|173
.00135|00:04:05|02-02:11:28|469328|ymechqrane|choueiry|2014-03-18T14:02:52|2014-03-20T16:14:20|2014-03-20T16:18:25|3-00:00:00|8096Mc||1|245
.00140|00:04:07|02-01:00:00|469686|ymechqrane|choueiry|2014-03-18T15:14:36|2014-03-20T16:14:36|2014-03-20T16:18:43|3-00:00:00|8096Mc||1|247
.00149|00:04:35|02-02:57:02|468331|aschneid|choueiry|2014-03-18T13:17:21|2014-03-20T16:14:23|2014-03-20T16:18:58|3-00:00:00|8096Mc||1|275
.00158|00:03:23|01-11:37:44|471121|ymechqrane|choueiry|2014-03-19T04:36:53|2014-03-20T16:14:37|2014-03-20T16:18:00|3-00:00:00|8096Mc||1|203
.00158|00:04:50|02-02:57:01|467701|aschneid|choueiry|2014-03-18T13:17:13|2014-03-20T16:14:14|2014-03-20T16:19:04|3-00:00:00|8096Mc||1|290
.00187|00:04:00|01-11:37:44|471120|ymechqrane|choueiry|2014-03-19T04:36:53|2014-03-20T16:14:37|2014-03-20T16:18:37|3-00:00:00|8096Mc||1|240
.00187|00:05:43|02-02:57:01|467680|aschneid|choueiry|2014-03-18T13:17:13|2014-03-20T16:14:14|2014-03-20T16:19:57|3-00:00:00|8096Mc||1|343
.00188|00:05:45|02-02:57:01|467677|aschneid|choueiry|2014-03-18T13:17:13|2014-03-20T16:14:14|2014-03-20T16:19:59|3-00:00:00|8096Mc||1|345
.00188|00:05:46|02-02:53:34|468917|aschneid|choueiry|2014-03-18T13:21:01|2014-03-20T16:14:35|2014-03-20T16:20:21|3-00:00:00|8096Mc||1|346
.00189|00:05:48|02-02:57:00|467671|aschneid|choueiry|2014-03-18T13:17:13|2014-03-20T16:14:13|2014-03-20T16:20:01|3-00:00:00|8096Mc||1|348
.00191|00:05:51|02-02:57:01|468183|aschneid|choueiry|2014-03-18T13:17:19|2014-03-20T16:14:20|2014-03-20T16:20:11|2-16:00:00|8096Mc||1|351
.00193|00:05:55|02-02:57:01|467690|aschneid|choueiry|2014-03-18T13:17:13|2014-03-20T16:14:14|2014-03-20T16:20:09|3-00:00:00|8096Mc||1|355
.00195|00:05:58|02-02:57:01|467679|aschneid|choueiry|2014-03-18T13:17:13|2014-03-20T16:14:14|2014-03-20T16:20:12|3-00:00:00|8096Mc||1|358
.00196|00:06:00|02-02:57:01|467673|aschneid|choueiry|2014-03-18T13:17:13|2014-03-20T16:14:14|2014-03-20T16:20:14|3-00:00:00|8096Mc||1|360
.00196|00:06:00|02-02:57:01|467676|aschneid|choueiry|2014-03-18T13:17:13|2014-03-20T16:14:14|2014-03-20T16:20:14|3-00:00:00|8096Mc||1|360
.00196|00:06:00|02-02:57:01|467678|aschneid|choueiry|2014-03-18T13:17:13|2014-03-20T16:14:14|2014-03-20T16:20:14|3-00:00:00|8096Mc||1|360
.00197|00:06:02|02-02:53:34|468919|aschneid|choueiry|2014-03-18T13:21:01|2014-03-20T16:14:35|2014-03-20T16:20:37|3-00:00:00|8096Mc||1|362
.00201|00:06:10|02-02:57:01|467687|aschneid|choueiry|2014-03-18T13:17:13|2014-03-20T16:14:14|2014-03-20T16:20:24|3-00:00:00|8096Mc||1|370
.00201|00:06:10|02-02:57:01|467689|aschneid|choueiry|2014-03-18T13:17:13|2014-03-20T16:14:14|2014-03-20T16:20:24|3-00:00:00|8096Mc||1|370
.00203|00:06:13|02-02:57:01|467686|aschneid|choueiry|2014-03-18T13:17:13|2014-03-20T16:14:14|2014-03-20T16:20:27|3-00:00:00|8096Mc||1|373
.00211|00:06:22|02-02:11:28|469330|ymechqrane|choueiry|2014-03-18T14:02:52|2014-03-20T16:14:20|2014-03-20T16:20:42|3-00:00:00|8096Mc||1|382
.00211|00:06:28|02-02:57:01|467688|aschneid|choueiry|2014-03-18T13:17:13|2014-03-20T16:14:14|2014-03-20T16:20:42|3-00:00:00|8096Mc||1|388
.00216|00:06:38|02-02:57:01|467695|aschneid|choueiry|2014-03-18T13:17:13|2014-03-20T16:14:14|2014-03-20T16:20:52|3-00:00:00|8096Mc||1|398
.00221|00:06:46|02-02:53:34|468920|aschneid|choueiry|2014-03-18T13:21:01|2014-03-20T16:14:35|2014-03-20T16:21:21|3-00:00:00|8096Mc||1|406
.00222|00:06:33|02-01:00:00|469688|ymechqrane|choueiry|2014-03-18T15:14:36|2014-03-20T16:14:36|2014-03-20T16:21:09|3-00:00:00|8096Mc||1|393
.00224|00:06:51|02-02:57:01|467674|aschneid|choueiry|2014-03-18T13:17:13|2014-03-20T16:14:14|2014-03-20T16:21:05|3-00:00:00|8096Mc||1|411
.00226|00:06:56|02-02:57:01|467694|aschneid|choueiry|2014-03-18T13:17:13|2014-03-20T16:14:14|2014-03-20T16:21:10|3-00:00:00|8096Mc||1|416
.00227|00:06:58|02-02:57:01|467692|aschneid|choueiry|2014-03-18T13:17:13|2014-03-20T16:14:14|2014-03-20T16:21:12|3-00:00:00|8096Mc||1|418
.00228|00:06:59|02-02:57:01|467691|aschneid|choueiry|2014-03-18T13:17:13|2014-03-20T16:14:14|2014-03-20T16:21:13|3-00:00:00|8096Mc||1|419
.00237|00:07:15|02-02:57:01|467693|aschneid|choueiry|2014-03-18T13:17:13|2014-03-20T16:14:14|2014-03-20T16:21:29|3-00:00:00|8096Mc||1|435
.00237|00:07:16|02-02:57:01|467700|aschneid|choueiry|2014-03-18T13:17:13|2014-03-20T16:14:14|2014-03-20T16:21:30|3-00:00:00|8096Mc||1|436
.00243|00:07:27|02-02:53:34|468921|aschneid|choueiry|2014-03-18T13:21:01|2014-03-20T16:14:35|2014-03-20T16:22:02|3-00:00:00|8096Mc||1|447
.00246|00:07:33|02-02:57:01|467699|aschneid|choueiry|2014-03-18T13:17:13|2014-03-20T16:14:14|2014-03-20T16:21:47|3-00:00:00|8096Mc||1|453
.00247|00:07:34|02-02:57:01|467697|aschneid|choueiry|2014-03-18T13:17:13|2014-03-20T16:14:14|2014-03-20T16:21:48|3-00:00:00|8096Mc||1|454
.00249|00:07:38|02-02:57:01|467696|aschneid|choueiry|2014-03-18T13:17:13|2014-03-20T16:14:14|2014-03-20T16:21:52|3-00:00:00|8096Mc||1|458
.00250|00:07:39|02-02:57:01|467675|aschneid|choueiry|2014-03-18T13:17:13|2014-03-20T16:14:14|2014-03-20T16:21:53|3-00:00:00|8096Mc||1|459
.00256|00:07:51|02-02:57:01|467698|aschneid|choueiry|2014-03-18T13:17:13|2014-03-20T16:14:14|2014-03-20T16:22:05|3-00:00:00|8096Mc||1|471
.00270|00:08:16|02-02:57:03|468294|aschneid|choueiry|2014-03-18T13:17:20|2014-03-20T16:14:23|2014-03-20T16:22:39|3-00:00:00|8096Mc||1|496
.00273|00:08:15|02-02:11:28|469335|ymechqrane|choueiry|2014-03-18T14:02:52|2014-03-20T16:14:20|2014-03-20T16:22:35|3-00:00:00|8096Mc||1|495
.00277|00:08:10|02-01:00:00|469693|ymechqrane|choueiry|2014-03-18T15:14:36|2014-03-20T16:14:36|2014-03-20T16:22:46|3-00:00:00|8096Mc||1|490
.00283|00:08:40|02-02:56:56|468146|aschneid|choueiry|2014-03-18T13:17:18|2014-03-20T16:14:14|2014-03-20T16:22:54|3-00:00:00|8096Mc||1|520
.00301|00:06:27|01-11:37:44|471122|ymechqrane|choueiry|2014-03-19T04:36:53|2014-03-20T16:14:37|2014-03-20T16:21:04|3-00:00:00|8096Mc||1|387
.00382|00:08:11|01-11:37:44|471127|ymechqrane|choueiry|2014-03-19T04:36:53|2014-03-20T16:14:37|2014-03-20T16:22:48|3-00:00:00|8096Mc||1|491
.00486|00:14:53|02-02:57:06|467219|aschneid|choueiry|2014-03-18T13:17:04|2014-03-20T16:14:10|2014-03-20T16:29:03|3-00:00:00|8096Mc||1|893
.00555|00:16:58|02-02:57:01|467555|aschneid|choueiry|2014-03-18T13:17:12|2014-03-20T16:14:13|2014-03-20T16:31:11|2-04:00:00|8096Mc||1|1018
.00559|00:17:07|02-02:57:01|467554|aschneid|choueiry|2014-03-18T13:17:12|2014-03-20T16:14:13|2014-03-20T16:31:20|2-04:00:00|8096Mc||1|1027
.00560|00:09:51|01-05:15:51|472126|ziguang|bobaru|2014-03-19T10:58:12|2014-03-20T16:14:03|2014-03-20T16:23:54|6-00:00:00|4Gc||1|591
.00578|00:17:42|02-02:57:01|467556|aschneid|choueiry|2014-03-18T13:17:12|2014-03-20T16:14:13|2014-03-20T16:31:55|2-04:00:00|8096Mc||1|1062
.00602|00:18:26|02-02:57:01|467557|aschneid|choueiry|2014-03-18T13:17:12|2014-03-20T16:14:13|2014-03-20T16:32:39|2-04:00:00|8096Mc||1|1106
.00607|00:18:35|02-02:57:02|467088|aschneid|choueiry|2014-03-18T13:17:02|2014-03-20T16:14:04|2014-03-20T16:32:39|2-02:00:00|8096Mc||1|1115
.00609|00:18:38|02-02:57:02|467091|aschneid|choueiry|2014-03-18T13:17:02|2014-03-20T16:14:04|2014-03-20T16:32:42|2-02:00:00|8096Mc||1|1118
.00610|00:18:40|02-02:57:02|467090|aschneid|choueiry|2014-03-18T13:17:02|2014-03-20T16:14:04|2014-03-20T16:32:44|2-02:00:00|8096Mc||1|1120
.00655|00:20:02|02-02:57:02|467066|aschneid|choueiry|2014-03-18T13:17:02|2014-03-20T16:14:04|2014-03-20T16:34:06|2-02:00:00|8096Mc||1|1202
.00743|00:22:44|02-02:57:08|468627|aschneid|choueiry|2014-03-18T13:17:25|2014-03-20T16:14:33|2014-03-20T16:37:17|3-00:00:00|8096Mc||1|1364
.00750|00:22:56|02-02:57:02|467045|aschneid|choueiry|2014-03-18T13:17:02|2014-03-20T16:14:04|2014-03-20T16:37:00|2-02:00:00|8096Mc||1|1376
.00759|00:23:11|02-02:53:32|469046|aschneid|choueiry|2014-03-18T13:21:04|2014-03-20T16:14:36|2014-03-20T16:37:47|3-00:00:00|8096Mc||1|1391
.00760|00:22:54|02-02:11:44|469349|ymechqrane|choueiry|2014-03-18T14:02:52|2014-03-20T16:14:36|2014-03-20T16:37:30|3-00:00:00|8096Mc||1|1374
.00760|00:23:14|02-02:53:32|469045|aschneid|choueiry|2014-03-18T13:21:04|2014-03-20T16:14:36|2014-03-20T16:37:50|3-00:00:00|8096Mc||1|1394
.00763|00:23:19|02-02:53:35|468836|aschneid|choueiry|2014-03-18T13:20:59|2014-03-20T16:14:34|2014-03-20T16:37:53|2-02:00:00|8096Mc||1|1399
.00771|00:23:36|02-02:57:01|467553|aschneid|choueiry|2014-03-18T13:17:12|2014-03-20T16:14:13|2014-03-20T16:37:49|2-04:00:00|8096Mc||1|1416
.00775|00:23:42|02-02:57:08|468597|aschneid|choueiry|2014-03-18T13:17:25|2014-03-20T16:14:33|2014-03-20T16:38:15|3-00:00:00|8096Mc||1|1422
.00776|00:23:44|02-02:57:08|468598|aschneid|choueiry|2014-03-18T13:17:25|2014-03-20T16:14:33|2014-03-20T16:38:17|3-00:00:00|8096Mc||1|1424
.00782|00:23:00|02-01:00:00|469707|ymechqrane|choueiry|2014-03-18T15:14:36|2014-03-20T16:14:36|2014-03-20T16:37:36|3-00:00:00|8096Mc||1|1380
.00782|00:23:55|02-02:57:08|468606|aschneid|choueiry|2014-03-18T13:17:25|2014-03-20T16:14:33|2014-03-20T16:38:28|3-00:00:00|8096Mc||1|1435
.00785|00:24:00|02-02:57:02|467039|aschneid|choueiry|2014-03-18T13:17:02|2014-03-20T16:14:04|2014-03-20T16:38:04|2-02:00:00|8096Mc||1|1440
.00785|00:24:00|02-02:57:08|468611|aschneid|choueiry|2014-03-18T13:17:25|2014-03-20T16:14:33|2014-03-20T16:38:33|3-00:00:00|8096Mc||1|1440
.00785|00:24:00|02-02:57:08|468624|aschneid|choueiry|2014-03-18T13:17:25|2014-03-20T16:14:33|2014-03-20T16:38:33|3-00:00:00|8096Mc||1|1440
.00785|00:24:01|02-02:57:08|468620|aschneid|choueiry|2014-03-18T13:17:25|2014-03-20T16:14:33|2014-03-20T16:38:34|3-00:00:00|8096Mc||1|1441
.00786|00:24:02|02-02:57:08|468610|aschneid|choueiry|2014-03-18T13:17:25|2014-03-20T16:14:33|2014-03-20T16:38:35|3-00:00:00|8096Mc||1|1442
.00787|00:24:05|02-02:57:08|468625|aschneid|choueiry|2014-03-18T13:17:25|2014-03-20T16:14:33|2014-03-20T16:38:38|3-00:00:00|8096Mc||1|1445
.00788|00:24:06|02-02:57:08|468623|aschneid|choueiry|2014-03-18T13:17:25|2014-03-20T16:14:33|2014-03-20T16:38:39|3-00:00:00|8096Mc||1|1446
.00789|00:24:09|02-02:57:08|468608|aschneid|choueiry|2014-03-18T13:17:25|2014-03-20T16:14:33|2014-03-20T16:38:42|3-00:00:00|8096Mc||1|1449
.00790|00:24:09|02-02:53:32|469043|aschneid|choueiry|2014-03-18T13:21:04|2014-03-20T16:14:36|2014-03-20T16:38:45|3-00:00:00|8096Mc||1|1449
.00790|00:24:10|02-02:57:08|468621|aschneid|choueiry|2014-03-18T13:17:25|2014-03-20T16:14:33|2014-03-20T16:38:43|3-00:00:00|8096Mc||1|1450
.00790|00:24:10|02-02:57:08|468622|aschneid|choueiry|2014-03-18T13:17:25|2014-03-20T16:14:33|2014-03-20T16:38:43|3-00:00:00|8096Mc||1|1450
.00791|00:24:12|02-02:57:08|468615|aschneid|choueiry|2014-03-18T13:17:25|2014-03-20T16:14:33|2014-03-20T16:38:45|3-00:00:00|8096Mc||1|1452
.00792|00:24:13|02-02:57:08|468607|aschneid|choueiry|2014-03-18T13:17:25|2014-03-20T16:14:33|2014-03-20T16:38:46|3-00:00:00|8096Mc||1|1453
.00792|00:24:13|02-02:57:08|468626|aschneid|choueiry|2014-03-18T13:17:25|2014-03-20T16:14:33|2014-03-20T16:38:46|3-00:00:00|8096Mc||1|1453
.00792|00:24:14|02-02:57:08|468612|aschneid|choueiry|2014-03-18T13:17:25|2014-03-20T16:14:33|2014-03-20T16:38:47|3-00:00:00|8096Mc||1|1454
